|------------------------------------------------------------------------------|
| N   | Manufacturer       | Part Number             | Symbol | Footprint | 3D |
|------------------------------------------------------------------------------|
| 001 | Bosch              | BME680                  | +      |           |    |
| 002 | Espressif          | ESP32-WROOM-32          | +      |           |    |
| 003 | Maxim Integrated   | MAX16025                | +      |           |    |
| 004 | Microchip          | MCP25625                | +      | +         | +  |
| 005 | Microchip          | MCP4725                 | +      | +         | +  |
| 006 | ON Semiconductor   | AMIS42770               | +      |           |    |
| 007 | Smiths Connectors  | D-CG-2.5-6              | +      |           |    |
| 008 | Smiths Connectors  | D-CP-2.5-6              | +      |           |    |
| 009 | STMicroelectronics | STLM75                  | +      | +         | +  |
| 010 | STMicroelectronics | STM32L162RDT            | +      | +         | +  |
| 011 | Texas Instruments  | LM1117IMP               | +      | +         | +  |
| 012 | Texas Instruments  | MSP430FR215xTDBT        | +      | +         | +  |
| 013 | Texas Instruments  | MSP430FR215xTPT         | +      | +         | +  |
| 014 | Texas Instruments  | MSP430FR215xTRHA        | +      | +         | +  |
| 015 | Texas Instruments  | MSP430FR215xTRSM        | +      | +         | +  |
| 016 | Texas Instruments  | MSP430FR235xTDBT        | +      | +         | +  |
| 017 | Texas Instruments  | MSP430FR235xTPT         | +      | +         | +  |
| 018 | Texas Instruments  | MSP430FR235xTRHA        | +      | +         | +  |
| 019 | Texas Instruments  | MSP430FR235xTRSM        | +      | +         | +  |
| 020 | Texas Instruments  | MSP430FR2433IRGE        | +      | +         | +  |
| 021 | Texas Instruments  | MSP430FR2433IYQW        | +      |           |    |
| 022 | Texas Instruments  | TMP100                  | +      | +         | +  |
| 023 | Texas Instruments  | TMP101                  | +      | +         | +  |
| 024 | Winsen             | MH-Z19B                 | +      |           |    |
|------------------------------------------------------------------------------|
| RUS                                                                          |
|------------------------------------------------------------------------------|
| 001 | Интеграл           | 1325ЕН1.8У              | +      |           |    |
| 002 | Интеграл           | 1325ЕН2.5У              | +      |           |    |
| 003 | Интеграл           | 1325ЕН2.85У             | +      |           |    |
| 004 | Интеграл           | 1325ЕН3У                | +      |           |    |
| 005 | Интеграл           | 1325ЕН3.3У              | +      |           |    |
| 006 | Интеграл           | 1325ЕН5У                | +      |           |    |
| 007 | Интеграл           | 1666РЕ014               | +      |           |    |
| 008 | Интеграл           | 5584АП6У                | +      |           |    |
| 009 | Кремний ЭЛ         | 1158ЕН3.3ВХ             | +      |           |    |
| 010 | Кремний ЭЛ         | 1158ЕН5ВХ               | +      |           |    |
| 011 | Кремний ЭЛ         | 1158ЕН9ВХ               | +      |           |    |
| 012 | Кремний ЭЛ         | 1158ЕН12ВХ              | +      |           |    |
| 013 | Кремний ЭЛ         | 1158ЕН15ВХ              | +      |           |    |
| 014 | КРИП Техно         | 2Т3130А9                | +      |           |    |
| 015 | Метеор             | ГК296-П75-7ДС-12М-5     | +      |           |    |
| 016 | Метеор             | ГК296-П75-7ДС-16М-3.3   | +      |           |    |
| 017 | Метеор             | ГК296-П75-7ДС-25М-3.3   | +      |           |    |
| 018 | Миландр            | 1986ВЕ92У1              | +      |           |    |
| 019 | НИИЭТ              | К1921ВК01Т              | +      |           |    |
| 020 | НПО Физика         | 5559ИН13УА3             | +      |           |    |
| 021 | НПО Физика         | Н1582ВЖ3Б-0290          | +      |           |    |
| 022 | НТЦ СИТ            | 1158ЕН3.3хУ             | +      |           |    |
| 023 | НТЦ СИТ            | 1158ЕН5хУ               | +      |           |    |
| 024 | Протон             | ИПД169А9-Б              | +      |           |    |
| 025 | Протон             | ИПД169А9-Ж              | +      |           |    |
| 026 | Протон             | ИПД169А9-К              | +      |           |    |
| 027 | Протон             | ИПД169А9-Л              | +      |           |    |
| 028 | Протон             | ИПД169А9-С              | +      |           |    |
| 029 | Протон             | ИПД169Б9-Л              | +      |           |    |
| 030 | АО "НПО "Эркон"    | КИФ1005                 | +      |           |    |
| 031 | АО "НПО "Эркон"    | КИФ1608                 | +      |           |    |
|------------------------------------------------------------------------------|
